Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
Wuhan/0126-C14/2020,EPI_ISL_493172
Australia/NSW02/2020,EPI_ISL_408976
Turkey/HSGM-6204/2020,EPI_ISL_437329
USA/MA1/2020,EPI_ISL_409067
Canada/ON_VIDO-01/2020,EPI_ISL_413015
Sweden/20-02114/2020,EPI_ISL_476139
Australia/VIC01/2020,EPI_ISL_406844
Thailand/SI200893-NT/2020,EPI_ISL_437624
HongKong/VM20002582-2/2020,EPI_ISL_414569
HongKong/HKU-200723-004/2020,EPI_ISL_497771
Wuhan/Hu-1/2019,EPI_ISL_402125
Nepal/61/2020,EPI_ISL_410301
Vietnam/19-01S/2020,EPI_ISL_418269
Singapore/2/2020,EPI_ISL_407987
Malaysia/MKAK-CL-2020-5049/2020,EPI_ISL_416884
Taiwan/8/2020,EPI_ISL_428488
Thailand/NIH-59/2020,EPI_ISL_434693
Ecuador/HEE-01/2020,EPI_ISL_417482
NewZealand/CoV001/2020,EPI_ISL_417211
Curacao/CW-RIVM-10100/2020,EPI_ISL_547453
Malaysia/IMR_WC458/2020,EPI_ISL_455792
Cambodia/0012/2020,EPI_ISL_411902
USA/WI1/2020,EPI_ISL_408670
Australia/VIC14/2020,EPI_ISL_419734
Finland/1/2020,EPI_ISL_407079
Japan/OS-20-07-1/2020,EPI_ISL_410532
USA/NE_6605/2020,EPI_ISL_424874
Bulgaria/15/2020,EPI_ISL_480298
NewZealand/20VR0759/2020,EPI_ISL_456164
Singapore/35/2020,EPI_ISL_422428
SouthKorea/KCDC12/2020,EPI_ISL_412872
Indonesia/BT-EIJK36/2020,EPI_ISL_574611
Mexico/JAL-InDRE-16/2020,EPI_ISL_455454
Curacao/CW-RIVM-10308/2020,EPI_ISL_636492
Curacao/CW-RIVM-10093/2020,EPI_ISL_547451
Curacao/CW-RIVM-10092/2020,EPI_ISL_547450
Curacao/CW-RIVM-10094/2020,EPI_ISL_547452
Australia/NSW10/2020,EPI_ISL_413596
USA/CA-CDC-2602/2020,EPI_ISL_419554
USA/OK-QDX-93/2020,EPI_ISL_468589
Wuhan/HB-WH1-135/2020,EPI_ISL_454912
Pakistan/KHI1/2020,EPI_ISL_451958
Colombia/ANT-GUV-92252/2020,EPI_ISL_447767
Lithuania/KU-LUHS-Eilnr24/2020,EPI_ISL_603089
Indonesia/PA-NIHRD-PME4306/2020,EPI_ISL_538512
USA/WY-UNM-00136/2020,EPI_ISL_614256
SouthAfrica/R02827/2020,EPI_ISL_430297
Indonesia/JI-EIJK-10/2020,EPI_ISL_568686
USA/WV-QDX-1284/2020,EPI_ISL_572053
France/IDF-0515/2020,EPI_ISL_408430
Australia/VIC15/2020,EPI_ISL_419735
Canada/BC_13297/2020,EPI_ISL_415578
USA/NY1-PV08001/2020,EPI_ISL_414476
Taiwan/CGMH-CGU-05/2020,EPI_ISL_415743
UnitedArabEmirates/L0904/2020,EPI_ISL_435126
Iran/2297/2020,EPI_ISL_594185
Iran/PN2179/2020,EPI_ISL_463749
Iran/7650/2020,EPI_ISL_594188
Sweden/20-04631/2020,EPI_ISL_430847
Thailand/Bangkok-0078/2020,EPI_ISL_447019
NewZealand/20VR0206/2020,EPI_ISL_416526
NewZealand/20VR0174/2020,EPI_ISL_413490
Bahrein/BAH-08/2020,EPI_ISL_483549
Bahrein/BAH-27/2020,EPI_ISL_483565
Lebanon/S5_762/2020,EPI_ISL_450512
Georgia/Tb-82/2020,EPI_ISL_415644
Kenya/S052/2020,EPI_ISL_457932
SriLanka/CDR-SL7066/2020,EPI_ISL_525481
Australia/NSW09/2020,EPI_ISL_413595
Canada/ON_SHSC-01/2020,EPI_ISL_450747
Kazakhstan/26478/2020,EPI_ISL_454506
Oman/RESP-20-797/2020,EPI_ISL_457701
Italy/LAZ-INMI1-cs/2020,EPI_ISL_410546
Iceland/13/2020,EPI_ISL_417765
Norway/1494/2020,EPI_ISL_417489
NewZealand/CoV002/2020,EPI_ISL_417212
NewZealand/20VR3140/2020,EPI_ISL_579432
NewZealand/20VR1109/2020,EPI_ISL_456190
Brazil/ES-225/2020,EPI_ISL_415128
Nigeria/OY045A-CV35/2020,EPI_ISL_455431
Jamaica/JM-CDC-6365/2020,EPI_ISL_450796
USA/AR-QDX-532/2020,EPI_ISL_571261
Aruba/AW-RIVM-10122/2020,EPI_ISL_547449
Chile/RM-ISPCH-55/2020,EPI_ISL_445351
England/20102000106/2020,EPI_ISL_415144
NewZealand/20VR1597/2020,EPI_ISL_456224
Australia/QLD1016/2020,EPI_ISL_530276
Finland/29M11S3/2020,EPI_ISL_481639
NewZealand/20VR2108/2020,EPI_ISL_456377
NewZealand/20VR2109/2020,EPI_ISL_456378
USA/OR-PROV-217/2020,EPI_ISL_482452
SouthKorea/KCDC2192/2020,EPI_ISL_506986
USA/OR_2656/2020,EPI_ISL_419558
Jordan/SR-051/2020,EPI_ISL_430008
NewZealand/20VR0901/2020,EPI_ISL_456169
