Strain,gisaid_epi_isl
India/MH-1-27/2020,EPI_ISL_413522
Thailand/Bangkok_168/2020,EPI_ISL_450196
Wuhan/WH01/2019,EPI_ISL_406798
Australia/SA01/2020,EPI_ISL_480778
Australia/SA03/2020,EPI_ISL_480780
England/01/2020,EPI_ISL_407071
England/02/2020,EPI_ISL_407073
SouthKorea/KUMC04/2020,EPI_ISL_413514
SouthKorea/KCDC03/2020,EPI_ISL_407193
Spain/EX-ISCIII-201248/2020,EPI_ISL_539558
Bolivia/26958/2020,EPI_ISL_837576
Mexico/QUE-InDRE-04/2020,EPI_ISL_424670
Thailand/SI202620-NT/2020,EPI_ISL_437615
Thailand/SI203285-NT/2020,EPI_ISL_437612
Thailand/SI205929-NT/2020,EPI_ISL_437605
Thailand/Bangkok-CONI-0299/2020,EPI_ISL_693372
Australia/NSW04/2020,EPI_ISL_417030
UnitedArabEmirates/skmc-920568379/2020,EPI_ISL_582608
UnitedArabEmirates/skmc-920168117/2020,EPI_ISL_582125
Singapore/894/2020,EPI_ISL_536435
Vietnam/PIHCM-14/2020,EPI_ISL_654866
Thailand/SI202205-NT/2020,EPI_ISL_437616
NewZealand/20VR0276/2020,EPI_ISL_416539
Vietnam/CM99/2020,EPI_ISL_416429
Vietnam/VR03-38142/2020,EPI_ISL_408668
NewZealand/20VR0989/2020,EPI_ISL_456174
NewZealand/20VR0275/2020,EPI_ISL_416538
USA/SC-DHEC-0002/2020,EPI_ISL_462991
Panama/338744/2020,EPI_ISL_496884
USA/MD-MDH-0096/2020,EPI_ISL_522832
EquatorialGuinea/253/2020,EPI_ISL_648318
Spain/AN-IBV-98001835/2020,EPI_ISL_538167
Kazakhstan/7341/2020,EPI_ISL_454572
Panama/336897/2020,EPI_ISL_496854
Kazakhstan/16173/2020,EPI_ISL_454497
Ecuador/USFQ-556/2020,EPI_ISL_728204
Panama/GMI-PA584303/2020,EPI_ISL_1001458
CostaRica/INC-0252/2021,EPI_ISL_1067593
CostaRica/INC-0272/2021,EPI_ISL_1067595
CostaRica/INC-0255/2021,EPI_ISL_1067599
Australia/NSW212/2020,EPI_ISL_427671
NewZealand/20CV0277/2020,EPI_ISL_579069
Australia/NSW202/2020,EPI_ISL_427762
Australia/TAS128/2020,EPI_ISL_522593
Australia/TAS50/2020,EPI_ISL_522725
Australia/TAS82/2020,EPI_ISL_522753
Australia/ACT0060/2020,EPI_ISL_498524
NewZealand/20CV0274/2020,EPI_ISL_579067
Australia/SAP270/2020,EPI_ISL_468042
NewZealand/20CV0300/2020,EPI_ISL_622790
Australia/NSW2541/2020,EPI_ISL_527042
USA/CA-CDPH-UC6/2020,EPI_ISL_413924
