Strain,gisaid_epi_isl
Hangzhou/ZJU-07/2020,EPI_ISL_416425
Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123
Guangdong/20SF179/2020,EPI_ISL_428451
Guangzhou/GZMU0060/2020,EPI_ISL_429103
Wuhan/IVDC-HB-05/2019,EPI_ISL_402121
Wuhan/WH01/2019,EPI_ISL_406798
Wuhan/WIV07/2019,EPI_ISL_402130
Shanghai/SH0036/2020,EPI_ISL_416345
Shanghai/SH0107/2020,EPI_ISL_416397
Shanghai/SH0039/2020,EPI_ISL_416348
Guangdong/2020XN4448-P0002/2020,EPI_ISL_413857
USA/CA-SCCPHD-UC35/2020,EPI_ISL_429880
Wuhan/IVDC-HB-04/2020,EPI_ISL_402120
Wuhan/WIV02/2019,EPI_ISL_402127
Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898
USA/CA8/2020,EPI_ISL_411955
Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534
Wuhan/WIV05/2019,EPI_ISL_402128
USA/CA-SR016/2020,EPI_ISL_430016
Beijing/BJ625/2020,EPI_ISL_430739
Beijing/BJ54/2020,EPI_ISL_430735
Beijing/BJ53/2020,EPI_ISL_430734
Beijing/BJ251/2020,EPI_ISL_430742
Beijing/BJ252/2020,EPI_ISL_430736
Guangdong/20SF243/2020,EPI_ISL_428456
Guangdong/20SF812/2020,EPI_ISL_428475
Japan/KY-V-029/2020,EPI_ISL_408669
Guangzhou/20SF206/2020,EPI_ISL_406533
Shanghai/SH0055/2020,EPI_ISL_416363
Guangdong/GD2020246-P0028/2020,EPI_ISL_413864
Shanghai/SH0053/2020,EPI_ISL_416361
Shanghai/SH0051/2020,EPI_ISL_416359
Australia/QLDID922/2020,EPI_ISL_418799
India/GMC-RK100/2020,EPI_ISL_431101
Australia/VIC899/2020,EPI_ISL_427149
Shanghai/SH0045/2020,EPI_ISL_416354
France/IDF0515/2020,EPI_ISL_408430
Hangzhou/HZCDC0012/2020,EPI_ISL_421236
Hangzhou/HZCDC0013/2020,EPI_ISL_421235
Australia/NT02/2020,EPI_ISL_419832
HongKong/HKU-908a/2020,EPI_ISL_434569
HongKong/HKU-908b/2020,EPI_ISL_434570
HongKong/VB20026565/2020,EPI_ISL_412030
Chongqing/IVDC-CQ-001/2020,EPI_ISL_408481
USA/TX_2039/2020,EPI_ISL_420796
Australia/NT01/2020,EPI_ISL_419831
Japan/Hu_DP_Kng_19-031/2020,EPI_ISL_420889
USA/TX_2020/2020,EPI_ISL_419561
USA/OR_2656/2020,EPI_ISL_419558
USA/UPHL-01/2020,EPI_ISL_415539
Japan/Hu_DP_Kng_19-027/2020,EPI_ISL_412969
Australia/NT05/2020,EPI_ISL_419835
Japan/TK-20-31-3/2020,EPI_ISL_413459
HongKong/VM20002849/2020,EPI_ISL_414571
Singapore/3Clin/2020,EPI_ISL_418994
Israel/ISR_JP0320/2020,EPI_ISL_419211
Australia/NT04/2020,EPI_ISL_419833
Japan/Hu_DP_Kng_19-020/2020,EPI_ISL_412968
Singapore/3/2020,EPI_ISL_407988
Philippines/RITM-04/2020,EPI_ISL_430840
Australia/VIC237/2020,EPI_ISL_419932
Australia/NSW25/2020,EPI_ISL_417388
Philippines/RITM-03/2020,EPI_ISL_430456
Brazil/SC-766/2020,EPI_ISL_427305
Philippines/PGC005/2020,EPI_ISL_434557
Philippines/PGC003/2020,EPI_ISL_434555
Thailand/NIH-2294/2020,EPI_ISL_434698
Philippines/PGC001/2020,EPI_ISL_431833
Philippines/PGC002/2020,EPI_ISL_434554
Fujian/IM3520016T/2020,EPI_ISL_431783
Fujian/IM3520017T/2020,EPI_ISL_431784
India/nimh-0318/2020,EPI_ISL_428483
India/nimh-0351/2020,EPI_ISL_428484
India/nimh-1071/2020,EPI_ISL_428487
India/nimh-0996/2020,EPI_ISL_428486
Taiwan/NTU04/2020,EPI_ISL_422407
Taiwan/TSGH-11/2020,EPI_ISL_427398
Philippines/RITM-05/2020,EPI_ISL_430843
SaudiArabia/KAIMRC-Alghoribi/2020,EPI_ISL_416432
Taiwan/284/2020,EPI_ISL_429884
Taiwan/299/2020,EPI_ISL_429882
Canada/MB_2/2020,EPI_ISL_429807
Australia/NSW44/2020,EPI_ISL_417400
USA/CA-CZB0145/2020,EPI_ISL_429062
Philippines/RITM-07/2020,EPI_ISL_430845
India/GMC-KN443/2020,EPI_ISL_431103
Gambia/GC19-026/2020,EPI_ISL_428856
Canada/ON_PHL0141/2020,EPI_ISL_418375
Canada/ON_PHL3459/2020,EPI_ISL_418376
Australia/QLDID921/2020,EPI_ISL_417033
Philippines/RITM-02/2020,EPI_ISL_430839
Philippines/PGC006/2020,EPI_ISL_434558
SouthAfrica/KRISP-06/2020,EPI_ISL_421573
Philippines/RITM-06/2020,EPI_ISL_430844
Slovenia/MB0329/2020,EPI_ISL_426379
Singapore/47/2020,EPI_ISL_428826
Malaysia/188407/2020,EPI_ISL_417918
Singapore/55/2020,EPI_ISL_428834
Malaysia/189332/2020,EPI_ISL_417917
Singapore/40/2020,EPI_ISL_422433
Singapore/42/2020,EPI_ISL_422435
Singapore/41/2020,EPI_ISL_422434
Singapore/64/2020,EPI_ISL_428843
Singapore/67/2020,EPI_ISL_428846
Singapore/71/2020,EPI_ISL_428850
Singapore/68/2020,EPI_ISL_428847
Singapore/65/2020,EPI_ISL_428844
Singapore/66/2020,EPI_ISL_428845
Singapore/62/2020,EPI_ISL_428841
Singapore/70/2020,EPI_ISL_428849
Singapore/63/2020,EPI_ISL_428842
Singapore/60/2020,EPI_ISL_428839
Singapore/57/2020,EPI_ISL_428836
Singapore/54/2020,EPI_ISL_428833
Singapore/56/2020,EPI_ISL_428835
Singapore/69/2020,EPI_ISL_428848
Singapore/58/2020,EPI_ISL_428837
Singapore/59/2020,EPI_ISL_428838
Singapore/61/2020,EPI_ISL_428840
Singapore/53/2020,EPI_ISL_428832
Pakistan/Gilgit1/2020,EPI_ISL_417444
Iran/HGRC-01-IPI-8206/2020,EPI_ISL_424349
Turkey/HSGM-5516/2020,EPI_ISL_428713
Netherlands/Gelderland_8/2020,EPI_ISL_422644
SriLanka/COV38/2020,EPI_ISL_428670
Wuhan/HBCDC-HB-05/2020,EPI_ISL_412981
Georgia/Tb-1523/2020,EPI_ISL_420142
Australia/WA10/2020,EPI_ISL_420539
Shandong/IVDC-SD-001/2020,EPI_ISL_408482
Netherlands/ZuidHolland_16/2020,EPI_ISL_414558
Shanghai/SH0080/2020,EPI_ISL_416382
Shanghai/SH0125/2020,EPI_ISL_416406
Guangdong/DG-S41-P0056/2020,EPI_ISL_413896
Xinyu/JX124/2020,EPI_ISL_421260
Nanchang/JX155/2020,EPI_ISL_421262
Nanchang/JX176/2020,EPI_ISL_421261
India/1125/2020,EPI_ISL_421668
Australia/QLD09/2020,EPI_ISL_414414
Shanghai/SH0022/2020,EPI_ISL_416331
Shanghai/SH0023/2020,EPI_ISL_416332
Taiwan/CGMH-CGU-04/2020,EPI_ISL_415742
Taiwan/CGMH-CGU-05/2020,EPI_ISL_415743
Taiwan/CGMH-CGU-07/2020,EPI_ISL_417520
Taiwan/CGMH-CGU-03/2020,EPI_ISL_415741
Taiwan/CGMH-CGU-08/2020,EPI_ISL_417521
Taiwan/CGMH-CGU-06/2020,EPI_ISL_417519
USA/NY1-PV08001/2020,EPI_ISL_414476
Canada/BC_69243/2020,EPI_ISL_415577
Canada/BC_37_0-2/2020,EPI_ISL_412965
India/1111/2020,EPI_ISL_421666
Germany/BavPat2/2020,EPI_ISL_414520
England/200990002/2020,EPI_ISL_414522
Canada/BC_5282984/2020,EPI_ISL_418832
Taiwan/TSGH-13/2020,EPI_ISL_428230
