Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
Malaysia/MKAK-CL-2020-5045/2020,EPI_ISL_416829
Shanghai/SH0052/2020,EPI_ISL_416360
Australia/NSW02/2020,EPI_ISL_408976
Changde/IVDC-Wu-HN97Y/2020,EPI_ISL_1260835
Wuhan/Hu-1/2019,EPI_ISL_402125
Taiwan/5/2020,EPI_ISL_428489
Nepal/61/2020,EPI_ISL_410301
France/IDF-0373/2020,EPI_ISL_406597
Sweden/20-02114/2020,EPI_ISL_476139
Australia/VIC03/2020,EPI_ISL_416411
Australia/NSW03/2020,EPI_ISL_408977
SriLanka/COV486/2020,EPI_ISL_428673
Iceland/1115/2020,EPI_ISL_1586128
NewZealand/20VR1900/2020,EPI_ISL_456301
Timor-Leste/TL25/2020,EPI_ISL_456600
Australia/TAS100/2020,EPI_ISL_522566
Ireland/D-NVRL-AIIDV0081v4/2020,EPI_ISL_644235
Vietnam/19-01S/2020,EPI_ISL_418269
Cambodia/0012/2020,EPI_ISL_411902
Australia/VIC14/2020,EPI_ISL_419734
USA/IL1/2020,EPI_ISL_404253
Taiwan/4/2020,EPI_ISL_411927
India/DL-NCDC7556-CSIR-IGIB/2020,EPI_ISL_482642
Senegal/SN-MBO-201654/2020,EPI_ISL_1167135
Senegal/SN-MBO-201670/2020,EPI_ISL_1167146
Germany/BY-IMB00331/2020,EPI_ISL_732530
Ecuador/HEE-01/2020,EPI_ISL_417482
mink/Netherlands/NB-EMC-18-20/2020,EPI_ISL_523044
NewZealand/CoV001/2020,EPI_ISL_417211
England/LIVE-A065B/2020,EPI_ISL_472124
Senegal/306/2020,EPI_ISL_420069
HongKong/HKU-200723-051/2020,EPI_ISL_497818
HongKong/HKPU-00501/2020,EPI_ISL_1289443
Indonesia/JK-EIJK35/2020,EPI_ISL_766045
NewZealand/20VR0993/2020,EPI_ISL_456176
Kazakhstan/123631/2020,EPI_ISL_1341150
Kazakhstan/122252/2020,EPI_ISL_1341149
Egypt/CCHE57357-A-66/2020,EPI_ISL_812836
Indonesia/JI-ITDua-966NTv/2020,EPI_ISL_759966
HongKong/HKU-200723-093/2020,EPI_ISL_497860
Australia/WA11/2020,EPI_ISL_420456
Singapore/3Clin/2020,EPI_ISL_418994
Israel/ISR_JP0320/2020,EPI_ISL_419211
Japan/PG-0362/2020,EPI_ISL_480032
Australia/SAP097/2020,EPI_ISL_468039
Iraq/BAS-2/2020,EPI_ISL_907075
Iran/Hormozgan/2021,EPI_ISL_1533610
Iran/AK-SARS-A7/2020,EPI_ISL_1398937
USA/NY1-PV08001/2020,EPI_ISL_414476
Tunisia/7899/2020,EPI_ISL_763067
Lebanon/S5_762/2020,EPI_ISL_450512
Canada/ON_SHSC-01/2020,EPI_ISL_450747
Iran/Tehran-08/2020,EPI_ISL_862078
Oman/RESP-20-797/2020,EPI_ISL_457701
Turkey/HSGM-4598/2020,EPI_ISL_429868
Turkey/HSGM-1450/2020,EPI_ISL_437306
Georgia/Tb-537/2020,EPI_ISL_416480
NewZealand/20VR0988/2020,EPI_ISL_456173
England/20080000104/2020,EPI_ISL_464175
SouthKorea/KCDC2040/2020,EPI_ISL_471446
SouthKorea/Chosun-CoV48_NP/2020,EPI_ISL_1007671
Qatar/QA-QU_02-2-22/2020,EPI_ISL_1712689
Jordan/SR-056/2020,EPI_ISL_430014
NewZealand/20VR0901/2020,EPI_ISL_456169
Uganda/UG033/2020,EPI_ISL_737953
Uganda/UG052/2020,EPI_ISL_737969
NewZealand/20VR1076/2020,EPI_ISL_456187
NewZealand/20VR3160/2020,EPI_ISL_579450
Philippines/PH-RITM-0020/2020,EPI_ISL_491474
Brunei/1/2020,EPI_ISL_443187
Malaysia/3706/2020,EPI_ISL_501209
Australia/NSW49/2020,EPI_ISL_427659
NewZealand/20CV0306/2020,EPI_ISL_622799
Pakistan/KP-RMI-01/2020,EPI_ISL_632908
Malaysia/IMR_WC81523/2020,EPI_ISL_490096
Malaysia/MGI-MAEPS41/2020,EPI_ISL_582124
Malaysia/MGI-MAEPS67/2020,EPI_ISL_528744
Malaysia/MGI-MAEPS54/2020,EPI_ISL_528743
Malaysia/IMR_WC2423/2020,EPI_ISL_459953
Singapore/724/2020,EPI_ISL_500545
Singapore/858/2020,EPI_ISL_527367
