Strain,gisaid_epi_isl
Taiwan/TSGH-37/2020,EPI_ISL_457733
Wuhan/WH01/2019,EPI_ISL_406798
Wuhan/WIV07/2019,EPI_ISL_402130
Wuhan/WIV05/2019,EPI_ISL_402128
Wuhan/IVDC-HB-05/2019,EPI_ISL_402121
Jiangsu/JS01/2020,EPI_ISL_411950
Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123
Netherlands/Oss_1363500/2020,EPI_ISL_413581
Thailand/Bangkok_168/2020,EPI_ISL_450196
Thailand/SI200615-NT/2020,EPI_ISL_437618
Wuhan/WIV02/2019,EPI_ISL_402127
USA/CA8/2020,EPI_ISL_411955
Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534
Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898
Sichuan/SC-MY-053/2020,EPI_ISL_451319
Thailand/SI202769-NT/2020,EPI_ISL_437614
Sichuan/SC-PHCC1-026/2020,EPI_ISL_451347
Sichuan/SC-MY-054/2020,EPI_ISL_451320
Spain/Andalucia201257/2020,EPI_ISL_455314
Beijing/Wuhan_IME-BJ07/2020,EPI_ISL_424360
Taiwan/CGMH-CGU-02/2020,EPI_ISL_417518
Zhejiang/CN2/2020,EPI_ISL_455684
Australia/VIC13/2020,EPI_ISL_419733
Shaoxing/10/2020,EPI_ISL_463902
HongKong/HKU-904a/2020,EPI_ISL_450412
England/01/2020,EPI_ISL_407071
England/02/2020,EPI_ISL_407073
India/MH-1-31/2020,EPI_ISL_413523
HongKong/HKU-907a/2020,EPI_ISL_434567
HongKong/HKU-907b/2020,EPI_ISL_434568
SouthKorea/KCDC2061/2020,EPI_ISL_497962
SouthKorea/KCDC05/2020,EPI_ISL_412869
SouthKorea/KCDC2002/2020,EPI_ISL_425118
Tianmen/HBCDC-HB-07/2020,EPI_ISL_412983
Japan/PG-0375/2020,EPI_ISL_480045
Japan/PG-0421/2020,EPI_ISL_480089
Japan/PG-0417/2020,EPI_ISL_480085
Japan/PG-0450/2020,EPI_ISL_480113
Japan/PG-0384/2020,EPI_ISL_480053
Japan/PG-0383/2020,EPI_ISL_480052
SouthKorea/KCDC2062/2020,EPI_ISL_497963
SouthKorea/KCDC07/2020,EPI_ISL_412871
SouthKorea/KCDC03/2020,EPI_ISL_407193
Beijing/235/2020,EPI_ISL_413521
SouthKorea/KCDC06/2020,EPI_ISL_412870
Japan/PG-0224/2020,EPI_ISL_479923
