Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
Guangzhou/GZMU0060/2020,EPI_ISL_429103
Hangzhou/ZJU-07/2020,EPI_ISL_416425
Hangzhou/ZJU-011/2020,EPI_ISL_418991
Guangdong/20SF179/2020,EPI_ISL_428451
Netherlands/Oss_1363500/2020,EPI_ISL_413581
Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123
Beijing/DT-WH02/2020,EPI_ISL_452357
Thailand/Bangkok_168/2020,EPI_ISL_450196
Thailand/SI200615-NT/2020,EPI_ISL_437618
Wuhan/WIV05/2019,EPI_ISL_402128
Beijing/BJ251/2020,EPI_ISL_430742
Beijing/BJ53/2020,EPI_ISL_430734
Wuhan/WIV02/2019,EPI_ISL_402127
Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534
Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898
USA/CA8/2020,EPI_ISL_411955
Sichuan/SC-PHCC1-030/2020,EPI_ISL_451351
Spain/LaRioja201572/2020,EPI_ISL_455342
Wuhan/HB-WH1-133/2020,EPI_ISL_455366
Sichuan/SC-NC-071/2020,EPI_ISL_451330
Wuhan/HB-WH5-238/2020,EPI_ISL_454979
Sichuan/SC-PHCC1-034/2020,EPI_ISL_451355
Spain/Andalucia201257/2020,EPI_ISL_455314
Shangrao/JX105/2020,EPI_ISL_421239
Australia/VIC13/2020,EPI_ISL_419733
Shanghai/SH0041/2020,EPI_ISL_416350
Shanghai/SH0034/2020,EPI_ISL_416343
Nanchang/JX14/2020,EPI_ISL_421243
Nanchang/JX39/2020,EPI_ISL_421248
Beijing/BJ287/2020,EPI_ISL_430722
Beijing/BJ288/2020,EPI_ISL_430725
Wuhan/WHUH002/2020,EPI_ISL_449477
Wuhan/WHUH020/2020,EPI_ISL_449486
England/01/2020,EPI_ISL_407071
England/02/2020,EPI_ISL_407073
Anhui/SZ005/2020,EPI_ISL_413485
SouthKorea/KCDC24/2020,EPI_ISL_412873
India/1-31/2020,EPI_ISL_413523
Guangdong/2020XN4475-P0042/2020,EPI_ISL_413854
HongKong/HKU-907b/2020,EPI_ISL_434568
USA/AZ1/2020,EPI_ISL_406223
Spain/COV001375/2020,EPI_ISL_452526
Yunnan/IVDC-YN-003/2020,EPI_ISL_408480
Korea/KCDC2003/2020,EPI_ISL_426163
SouthKorea/KCDC05/2020,EPI_ISL_412869
Korea/KCDC2002/2020,EPI_ISL_425118
Shandong/LY003-2/2020,EPI_ISL_414936
Shandong/LY007-2/2020,EPI_ISL_414940
Shandong/LY005-2/2020,EPI_ISL_414938
Shandong/LY006-2/2020,EPI_ISL_414939
Shandong/LY004-2/2020,EPI_ISL_414937
Shandong/LY008-2/2020,EPI_ISL_414941
Singapore/20/2020,EPI_ISL_418993
Sichuan/SC-MY-059/2020,EPI_ISL_451325
