Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
Taiwan/TSGH-37/2020,EPI_ISL_457733
Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123
Singapore/165/2020,EPI_ISL_462283
Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132
Wuhan/IVDC-HB-05/2019,EPI_ISL_402121
Wuhan/IPBCAMS-WH-03/2019,EPI_ISL_403930
Shanghai/SH0036/2020,EPI_ISL_416345
Wuhan/WIV07/2019,EPI_ISL_402130
Wuhan/HB-WH3-182/2020,EPI_ISL_454943
Wuhan/WIV05/2019,EPI_ISL_402128
Wuhan/HB-WH5-220/2020,EPI_ISL_454965
Thailand/Bangkok_323/2020,EPI_ISL_447916
Australia/NSW02/2020,EPI_ISL_408976
Thailand/SI200615-NT/2020,EPI_ISL_437618
Thailand/Bangkok_168/2020,EPI_ISL_450196
Wuhan/IVDC-HB-04/2020,EPI_ISL_402120
Singapore/630/2020,EPI_ISL_493390
Israel/CVL-n3166/2020,EPI_ISL_447250
Wuhan/WIV02/2019,EPI_ISL_402127
USA/CA8/2020,EPI_ISL_411955
Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534
Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898
Canada/ON_VIDO-01/2020,EPI_ISL_413015
USA/CA3/2020,EPI_ISL_408008
USA/CA4/2020,EPI_ISL_408009
Canada/ON_ON-VIDO-01-2/2020,EPI_ISL_425177
Canada/ON_PHL2445/2020,EPI_ISL_413014
Canada/ON_PHL4181/2020,EPI_ISL_418327
Australia/VIC01/2020,EPI_ISL_406844
HongKong/HKPU42-0302/2020,EPI_ISL_419217
Taiwan/2/2020,EPI_ISL_406031
HongKong/HKPU2_1801/2020,EPI_ISL_417177
HongKong/HKPU48-0202/2020,EPI_ISL_419222
Thailand/SI200383-NT/2020,EPI_ISL_437622
Thailand/NIH-190/2020,EPI_ISL_434695
Sweden/20-02114/2020,EPI_ISL_476139
Sweden/01/2020,EPI_ISL_411951
HongKong/CUHK1/2020,EPI_ISL_416314
HongKong/VM20002582-2/2020,EPI_ISL_414569
HongKong/HKU-200723-004/2020,EPI_ISL_497771
HongKong/HKPU102_2802/2020,EPI_ISL_420455
HongKong/HKPU76-0802/2020,EPI_ISL_419246
HongKong/HKPU83-1702/2020,EPI_ISL_419247
HongKong/HKPU74-1302/2020,EPI_ISL_419245
HongKong/HKPU70-1302/2020,EPI_ISL_419243
HongKong/HKPU92-1302/2020,EPI_ISL_419253
HongKong/HKPU91-2002/2020,EPI_ISL_419252
HongKong/HKPU84-2502/2020,EPI_ISL_419248
HongKong/VM20002907/2020,EPI_ISL_414517
HongKong/HKU-200723-022/2020,EPI_ISL_497789
HongKong/HKU-200723-002/2020,EPI_ISL_497769
HongKong/HKPU23_2601/2020,EPI_ISL_417183
HongKong/HKPU33_0202/2020,EPI_ISL_417195
HongKong/HKPU44-0102/2020,EPI_ISL_419219
HongKong/HKPU29_0102/2020,EPI_ISL_417187
HongKong/HKPU30_2901/2020,EPI_ISL_417188
HongKong/HKPU41-0802/2020,EPI_ISL_419216
HongKong/HKPU27_3001/2020,EPI_ISL_417184
Thailand/Samutprakarn_840/2020,EPI_ISL_447919
Uganda/UG013/2020,EPI_ISL_451195
USA/CA2/2020,EPI_ISL_406036
Australia/VIC02/2020,EPI_ISL_416410
France/IDF0373/2020,EPI_ISL_406597
France/IDF0372/2020,EPI_ISL_406596
France/IDF0386-islP1/2020,EPI_ISL_411219
