Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
Beijing/BJ252/2020,EPI_ISL_430736
USA/MA1/2020,EPI_ISL_409067
USA/CA-CDC-3/2020,EPI_ISL_408008
India/MH-1-27/2020,EPI_ISL_413522
Singapore/11/2020,EPI_ISL_410719
Australia/VIC14/2020,EPI_ISL_419734
Guangdong/FS-S42-P0046/2020,EPI_ISL_413869
UnitedArabEmirates/skmc-0442954/2020,EPI_ISL_582610
Lithuania/MR-LUHS-Eilnr84/2020,EPI_ISL_541874
Lithuania/MR-LUHS-Eilnr15/2020,EPI_ISL_603086
Wuhan/Hu-1/2019,EPI_ISL_402125
Wuhan/WIV04/2019,EPI_ISL_402124
Vietnam/19-02S/2020,EPI_ISL_418267
Japan/AI-I-004/2020,EPI_ISL_407084
Australia/QLD978/2020,EPI_ISL_530229
Pakistan/KHI1/2020,EPI_ISL_451958
Thailand/NIH-59/2020,EPI_ISL_434693
Singapore/1nan/2020,EPI_ISL_482678
Singapore/2nan/2020,EPI_ISL_482679
Japan/NA-20-05-1/2020,EPI_ISL_410531
Thailand/SI200433-NT/2020,EPI_ISL_437621
Cambodia/0012/2020,EPI_ISL_411902
HongKong/HKU-911a/2020,EPI_ISL_450409
Japan/OS-20-07-1/2020,EPI_ISL_410532
Mexico/JAL-InDRE-16/2020,EPI_ISL_455454
USA/HI-H200014/2020,EPI_ISL_752610
USA/CA-CDC-6/2020,EPI_ISL_410044
Netherlands/NA_67/2020,EPI_ISL_422827
NewZealand/CoV001/2020,EPI_ISL_417211
NewZealand/20VR0461/2020,EPI_ISL_456158
Curacao/CW-RIVM-10100/2020,EPI_ISL_547453
Netherlands/un-EMC-716/2020,EPI_ISL_523471
mink/Netherlands/NB-EMC-28-7/2020,EPI_ISL_577753
Finland/1/2020,EPI_ISL_407079
HongKong/HKPU57-0702/2020,EPI_ISL_419227
Indonesia/JK-EIJK24/2020,EPI_ISL_574609
Malaysia/IMR_WC1098/2020,EPI_ISL_430442
Indonesia/YO-EIJK15/2020,EPI_ISL_574605
Indonesia/JK-EIJK29/2020,EPI_ISL_766041
Indonesia/JI-ITD-150Sp/2020,EPI_ISL_529962
Egypt/CCHE57357-A-60/2020,EPI_ISL_812833
Wuhan/HB-WH4-194/2020,EPI_ISL_454948
USA/WV-QDX-1284/2020,EPI_ISL_572053
Singapore/29/2020,EPI_ISL_420106
Indonesia/JK-EIJK55/2020,EPI_ISL_888982
Egypt/CCHE57357-P-26/2020,EPI_ISL_812860
Beijing/BJ1112/2020,EPI_ISL_430737
England/01/2020,EPI_ISL_407071
India/MH-1-31/2020,EPI_ISL_413523
Malaysia/IMR_WC119/2020,EPI_ISL_455790
Thailand/Bangkok-0079/2020,EPI_ISL_447020
Cambodia/Kunming_kms-2/2020,EPI_ISL_682298
Vietnam/CM99/2020,EPI_ISL_416429
Vietnam/VR03-38142/2020,EPI_ISL_408668
USA/GA_1847/2020,EPI_ISL_424859
USA/DC-CDC-8704/2020,EPI_ISL_576178
USA/TX-HMH-1070/2020,EPI_ISL_542517
USA/CA-QDX-2022/2020,EPI_ISL_604310
Australia/VIC86/2020,EPI_ISL_419796
Australia/VIC35/2020,EPI_ISL_419755
Australia/NSW374/2020,EPI_ISL_451634
NewZealand/20VR0987/2020,EPI_ISL_456172
Panama/328723/2020,EPI_ISL_496609
Ecuador/USFQ-556/2020,EPI_ISL_728204
Australia/QLD1526/2021,EPI_ISL_849762
Panama/334280/2020,EPI_ISL_496772
