Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
HongKong/HKPU43-0202/2020,EPI_ISL_419218
Sweden/01/2020,EPI_ISL_411951
Sweden/20-02114/2020,EPI_ISL_476139
Australia/NSW03/2020,EPI_ISL_408977
Australia/VIC03/2020,EPI_ISL_416411
Nepal/61/2020,EPI_ISL_410301
USA/MA1/2020,EPI_ISL_409067
Wuhan/Hu-1/2019,EPI_ISL_402125
Wuhan/HBCDC-HB-03/2019,EPI_ISL_412899
Canada/ON_ON-VIDO-01-2/2020,EPI_ISL_425177
Shanghai/SH0110/2020,EPI_ISL_416399
USA/CA-CDC-5/2020,EPI_ISL_408010
Singapore/2/2020,EPI_ISL_407987
Cambodia/0012/2020,EPI_ISL_411902
Vietnam/19-01S/2020,EPI_ISL_418269
Hangzhou/HZCDC0048L/2020,EPI_ISL_421232
USA/WI1/2020,EPI_ISL_408670
Australia/VIC14/2020,EPI_ISL_419734
Taiwan/4/2020,EPI_ISL_411927
Finland/1/2020,EPI_ISL_407079
Australia/NSW10/2020,EPI_ISL_413596
USA/CA-CDC-9/2020,EPI_ISL_412862
Turkey/Ankara_GUMV_31394/2020,EPI_ISL_730569
India/WB-IICB-013/2020,EPI_ISL_578181
India/WB-IICB-034/2020,EPI_ISL_661307
Curacao/CW-RIVM-10093/2020,EPI_ISL_547451
Curacao/CW-RIVM-10308/2020,EPI_ISL_636492
Curacao/CW-RIVM-10309/2020,EPI_ISL_636493
Ecuador/HEE-01/2020,EPI_ISL_417482
Netherlands/Utrecht_10007/2020,EPI_ISL_454756
NewZealand/CoV001/2020,EPI_ISL_417211
Curacao/CW-RIVM-10100/2020,EPI_ISL_547453
Malaysia/IMR_WC458/2020,EPI_ISL_455792
Wuhan/HB-WH1-123/2020,EPI_ISL_455363
Malaysia/9593/2020,EPI_ISL_501226
Germany/NW-HHU-10/2020,EPI_ISL_414574
USA/NH-QDX-617/2020,EPI_ISL_571388
NewZealand/20VR2571/2020,EPI_ISL_579302
Japan/PG-0323/2020,EPI_ISL_479998
Indonesia/SA-EIJK13/2020,EPI_ISL_574604
USA/CA-CZB-1347/2020,EPI_ISL_468363
Pakistan/KHI1/2020,EPI_ISL_451958
USA/WV-QDX-1284/2020,EPI_ISL_572053
Mexico/JAL-InDRE-11/2020,EPI_ISL_455435
Indonesia/JK-EIJK-32/2020,EPI_ISL_568688
Indonesia/JK-EIJK-40/2020,EPI_ISL_568691
Indonesia/PA-NIHRD-PME4306/2020,EPI_ISL_538512
Lithuania/MR-LUHS-Eilnr55/2020,EPI_ISL_541866
France/IDF-0515/2020,EPI_ISL_408430
Australia/VIC872/2020,EPI_ISL_427127
USA/WY-WYPHL-00025/2020,EPI_ISL_462918
USA/NY1-PV08001/2020,EPI_ISL_414476
Canada/BC_13297/2020,EPI_ISL_415578
Taiwan/CGMH-CGU-04/2020,EPI_ISL_415742
Bahrein/BAH-14/2020,EPI_ISL_483555
Iran/KHGRC-2-2162/2020,EPI_ISL_442044
SriLanka/CDR-SL7066/2020,EPI_ISL_525481
Kuwait/KU09/2020,EPI_ISL_416541
Lebanon/S5_762/2020,EPI_ISL_450512
Oman/RESP-20-837/2020,EPI_ISL_457704
UnitedArabEmirates/L068/2020,EPI_ISL_435120
SriLanka/CDR503/2020,EPI_ISL_525479
Canada/ON_SHSC-01/2020,EPI_ISL_450747
Lebanon/S9_764/2020,EPI_ISL_450515
Kazakhstan/NCB-1/2020,EPI_ISL_435045
Kazakhstan/26574/2020,EPI_ISL_454593
Australia/NSW05/2020,EPI_ISL_412975
Australia/QLD09/2020,EPI_ISL_414414
Australia/NSW252/2020,EPI_ISL_451517
NewZealand/20VR0174/2020,EPI_ISL_413490
Georgia/Tb-7851/2020,EPI_ISL_477169
Bahrein/BAH-02/2020,EPI_ISL_483543
UnitedArabEmirates/L2409/2020,EPI_ISL_435131
Australia/VIC1255/2020,EPI_ISL_436119
Turkey/ERAGEM-001/2020,EPI_ISL_424366
Iran/2024/2020,EPI_ISL_594187
Australia/WA11/2020,EPI_ISL_420456
Australia/WA34/2020,EPI_ISL_470851
England/20092000804/2020,EPI_ISL_464182
Australia/SAP097/2020,EPI_ISL_468039
Norway/1443/2020,EPI_ISL_417490
Iceland/13/2020,EPI_ISL_417765
Georgia/Tb-54/2020,EPI_ISL_415641
Italy/LAZ-INMI2-N/2020,EPI_ISL_451302
NewZealand/20VR1597/2020,EPI_ISL_456224
NewZealand/CoV002/2020,EPI_ISL_417212
