Strain,gisaid_epi_isl
Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132
Wuhan/WH01/2019,EPI_ISL_406798
Singapore/165/2020,EPI_ISL_462283
Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123
Thailand/Bangkok_168/2020,EPI_ISL_450196
Thailand/SI200615-NT/2020,EPI_ISL_437618
Canada/ON_VIDO-01/2020,EPI_ISL_413015
Canada/ON_ON-VIDO-01-2/2020,EPI_ISL_425177
USA/CA-CDC-3/2020,EPI_ISL_408008
USA/CA-CDC-4/2020,EPI_ISL_408009
Sichuan/SC-MY-056/2020,EPI_ISL_451322
Egypt/CUNCI-HGC028/2020,EPI_ISL_468062
USA/NM-UNM-00273/2020,EPI_ISL_508110
Australia/WA04/2020,EPI_ISL_420536
Malaysia/IMR_WC119/2020,EPI_ISL_455790
England/01/2020,EPI_ISL_407071
England/02/2020,EPI_ISL_407073
SouthKorea/KCDC05/2020,EPI_ISL_412869
SouthKorea/KCDC2061/2020,EPI_ISL_497962
Thailand/SI202769-NT/2020,EPI_ISL_437614
Thailand/SI202620-NT/2020,EPI_ISL_437615
Thailand/Bangkok-CONI-0228/2020,EPI_ISL_512870
Thailand/SI203285-NT/2020,EPI_ISL_437612
SouthKorea/KCDC2051/2020,EPI_ISL_481371
SouthKorea/KCDC06/2020,EPI_ISL_412870
SouthKorea/KCDC2167/2020,EPI_ISL_506961
SouthKorea/KCDC2062/2020,EPI_ISL_497963
USA/AZ1/2020,EPI_ISL_406223
USA/TX1/2020,EPI_ISL_411956
Australia/NSW04/2020,EPI_ISL_417030
Thailand/SI202205-NT/2020,EPI_ISL_437616
UnitedArabEmirates/skmc-920168117/2020,EPI_ISL_582125
UnitedArabEmirates/skmc-920568379/2020,EPI_ISL_582608
UnitedArabEmirates/skmc-920569110/2020,EPI_ISL_582126
UnitedArabEmirates/L5630/2020,EPI_ISL_435137
NewZealand/20VR0276/2020,EPI_ISL_416539
Vietnam/CM99/2020,EPI_ISL_416429
Vietnam/38142/2020,EPI_ISL_416427
Vietnam/VR03-38142/2020,EPI_ISL_408668
USA/IL2/2020,EPI_ISL_410045
USA/DE-DHSS-F917914/2020,EPI_ISL_576227
USA/GA_1445/2020,EPI_ISL_420788
USA/SC_3571/2020,EPI_ISL_424904
USA/GA-QDX-1771/2020,EPI_ISL_604027
Australia/WA302/2020,EPI_ISL_596845
USA/UT-QDX-1847/2020,EPI_ISL_604163
USA/NJ-QDX-2250/2020,EPI_ISL_604557
USA/DC-CDC-8704/2020,EPI_ISL_576178
Panama/330671/2020,EPI_ISL_496669
Panama/332252/2020,EPI_ISL_496706
USA/SC-DHEC-0050/2020,EPI_ISL_491103
USA/SC-DHEC-0099/2020,EPI_ISL_491109
USA/TX-HMH0234/2020,EPI_ISL_434891
USA/UT-QDX-1462/2020,EPI_ISL_603847
USA/HI-QDX-759/2020,EPI_ISL_571528
USA/TX-HMH0207/2020,EPI_ISL_434882
Spain/AR-IBV-2442/2020,EPI_ISL_468776
Panama/328710/2020,EPI_ISL_496606
Panama/329682/2020,EPI_ISL_496642
Panama/329879/2020,EPI_ISL_496654
Panama/335931/2020,EPI_ISL_496828
Panama/335885/2020,EPI_ISL_496824
Panama/331516/2020,EPI_ISL_496685
Panama/334280/2020,EPI_ISL_496772
Panama/334998/2020,EPI_ISL_496799
Panama/338859/2020,EPI_ISL_496887
Panama/330208/2020,EPI_ISL_496660
Panama/335877/2020,EPI_ISL_496823
Panama/332238/2020,EPI_ISL_496705
Panama/338642/2020,EPI_ISL_496874
Panama/334256/2020,EPI_ISL_496770
Panama/337660/2020,EPI_ISL_496863
Panama/333949/2020,EPI_ISL_496757
Panama/340006/2020,EPI_ISL_496901
Panama/337467/2020,EPI_ISL_496861
Panama/340836/2020,EPI_ISL_496906
Panama/336897/2020,EPI_ISL_496854
Panama/337442/2020,EPI_ISL_496860
Spain/PV-IBV-000692/2020,EPI_ISL_452772
Spain/VC-FISABIO-23/2020,EPI_ISL_419687
Georgia/Tb-390/2020,EPI_ISL_416477
Panama/329700/2020,EPI_ISL_496644
Spain/PV-IBV-98001517/2020,EPI_ISL_537914
England/LIVE-9C582/2020,EPI_ISL_449554
Chile/Santiago_16/2020,EPI_ISL_445259
Panama/329628/2020,EPI_ISL_496637
Austria/CeMM0329/2020,EPI_ISL_475796
Kazakhstan/26827/2020,EPI_ISL_454516
Panama/330547/2020,EPI_ISL_496666
Spain/AR-IBV-98005777/2020,EPI_ISL_541034
Kazakhstan/7263/2020,EPI_ISL_454571
Colombia/NAR-INS-94679/2020,EPI_ISL_498162
Spain/AN-IBV-006096/2020,EPI_ISL_510429
Kazakhstan/7341/2020,EPI_ISL_454572
Kazakhstan/16173/2020,EPI_ISL_454497
Poland/Wro-02/2020,EPI_ISL_437625
Spain/PV-IBV-001460/2020,EPI_ISL_467102
Panama/335546/2020,EPI_ISL_496815
Uruguay/UY-NYUMC850/2020,EPI_ISL_457946
Brazil/RJ-0113/2020,EPI_ISL_418959
Senegal/136/2020,EPI_ISL_418216
NewZealand/20CV0287/2020,EPI_ISL_579077
Peru/LIM-INS-168/2020,EPI_ISL_536561
Australia/QLD1107/2020,EPI_ISL_593624
NewZealand/20CV0277/2020,EPI_ISL_579069
Australia/TAS97/2020,EPI_ISL_522767
Australia/TAS80/2020,EPI_ISL_522751
Australia/TAS26/2020,EPI_ISL_522687
Australia/TAS29/2020,EPI_ISL_522706
Australia/TAS37/2020,EPI_ISL_522714
Australia/TAS260/2020,EPI_ISL_522688
Australia/TAS166/2020,EPI_ISL_522621
Australia/TAS259/2020,EPI_ISL_522686
NewZealand/20CV0274/2020,EPI_ISL_579067
Australia/TAS117/2020,EPI_ISL_522583
Australia/TAS194/2020,EPI_ISL_522640
Australia/NSW183/2020,EPI_ISL_427714
Australia/SAP286/2020,EPI_ISL_467998
NewZealand/20CV0276/2020,EPI_ISL_579068
Australia/NSW185/2020,EPI_ISL_427793
Australia/WA134/2020,EPI_ISL_596697
Australia/WA28/2020,EPI_ISL_470845
Australia/QLDID936/2020,EPI_ISL_436098
Australia/NSW199/2020,EPI_ISL_427747
NewZealand/20VR2038/2020,EPI_ISL_456343
Australia/NSW786/2020,EPI_ISL_526128
Australia/NSW804/2020,EPI_ISL_526146
Australia/TAS223/2020,EPI_ISL_522652
NewZealand/20VR2019/2020,EPI_ISL_456336
Australia/QLD1117/2020,EPI_ISL_593633
Australia/WA162/2020,EPI_ISL_596725
Australia/SAP253/2020,EPI_ISL_468027
Australia/TAS81/2020,EPI_ISL_522752
Australia/TAS132/2020,EPI_ISL_522598
Australia/QLD03/2020,EPI_ISL_410717
Australia/QLD02/2020,EPI_ISL_407896
Australia/VIC07/2020,EPI_ISL_416415
Australia/QLD01/2020,EPI_ISL_407894
SierraLeone/KGH-G-8790/2020,EPI_ISL_512821
SierraLeone/KGH-G-8625/2020,EPI_ISL_512816
SierraLeone/KGH-G-8669/2020,EPI_ISL_512820
SierraLeone/KGH-G-8668/2020,EPI_ISL_512819
SierraLeone/KGH-G-8626/2020,EPI_ISL_512817
Nigeria/OS070-CV11/2020,EPI_ISL_455422
Nigeria/OS075-CV12/2020,EPI_ISL_455423
Nigeria/OS030-CV5/2020,EPI_ISL_455415
Nigeria/OS116-CV17/2020,EPI_ISL_455425
Nigeria/OS055-CV8/2020,EPI_ISL_455418
Nigeria/OS125-CV20/2020,EPI_ISL_455427
Senegal/618/2020,EPI_ISL_420077
Mali/M002663/2020,EPI_ISL_487452
Mali/M002698/2020,EPI_ISL_487457
Mali/M002615/2020,EPI_ISL_487447
Egypt/CUNCI-HGC7I02/2020,EPI_ISL_529142
Gabon/ITM-K011/2020,EPI_ISL_539573
SaudiArabia/KAUST-JEDDAH467/2020,EPI_ISL_512922
SaudiArabia/KAUST-JEDDAH468/2020,EPI_ISL_512923
Tunisia/COV0010-12/2020,EPI_ISL_463001
Ghana/2573_S27/2020,EPI_ISL_515082
Ghana/3176_S11/2020,EPI_ISL_422402
Benin/1950/2020,EPI_ISL_476830
Tunisia/MHT_2/2020,EPI_ISL_458286
Egypt/MASRI-009/2020,EPI_ISL_483035
Nigeria/KW298-CV48/2020,EPI_ISL_487107
Benin/2012/2020,EPI_ISL_476831
Ghana/84162_S45/2020,EPI_ISL_515103
Ghana/84260_S28/2020,EPI_ISL_515107
Australia/QLD04/2020,EPI_ISL_410718
Ghana/2828_S6/2020,EPI_ISL_422397
Ghana/34928_S21/2020,EPI_ISL_515087
Senegal/620/2020,EPI_ISL_420078
Ghana/34927_S20/2020,EPI_ISL_515086
Ghana/KATH23/2020,EPI_ISL_515181
Mali/M002675/2020,EPI_ISL_487456
Mali/M002823/2020,EPI_ISL_487463
Japan/PG-0052/2020,EPI_ISL_479815
Mali/M002707/2020,EPI_ISL_487461
Ghana/TTH6/2020,EPI_ISL_515248
Ghana/TTH11/2020,EPI_ISL_515183
Ghana/TTH10/2020,EPI_ISL_515182
Uganda/UG001/2020,EPI_ISL_451183
Mali/M002593/2020,EPI_ISL_487446
Uganda/UG002/2020,EPI_ISL_451184
NewZealand/20CV0316/2020,EPI_ISL_579087
NewZealand/20CV0317/2020,EPI_ISL_579088
Mali/M002618/2020,EPI_ISL_487449
DRC/300/2020,EPI_ISL_420841
Benin/843/2020,EPI_ISL_476829
Mali/M002659/2020,EPI_ISL_487451
Mali/M002616/2020,EPI_ISL_487448
Mali/M002704/2020,EPI_ISL_487460
Australia/WA102/2020,EPI_ISL_512755
Ghana/35280_S41/2020,EPI_ISL_515093
Uganda/UG012/2020,EPI_ISL_451194
Jordan/SR-0336/2020,EPI_ISL_450188
Gabon/ITM-K027/2020,EPI_ISL_539575
UnitedArabEmirates/L6841/2020,EPI_ISL_469280
Benin/461/2020,EPI_ISL_476833
Ghana/84210_S44/2020,EPI_ISL_515105
SouthKorea/KCDC2654/2020,EPI_ISL_516784
Kenya/C314/2020,EPI_ISL_457875
Kenya/C6519/2020,EPI_ISL_568804
UnitedArabEmirates/skmc-3819699/2020,EPI_ISL_582674
UnitedArabEmirates/C2-109/2020,EPI_ISL_528708
UnitedArabEmirates/L3290363526/2020,EPI_ISL_520710
Uganda/UG017/2020,EPI_ISL_451199
Bahrein/BAH-12/2020,EPI_ISL_483553
Nigeria/ED04-CV158/2020,EPI_ISL_527876
Pakistan/NIH-44905/2020,EPI_ISL_468159
Pakistan/NIH-HAS001/2020,EPI_ISL_468163
Australia/WA131/2020,EPI_ISL_596694
Australia/WA201/2020,EPI_ISL_596764
Australia/WA203/2020,EPI_ISL_596766
India/MH-1-31/2020,EPI_ISL_413523
HongKong/HKU-907a/2020,EPI_ISL_434567
